Origine: nom UO;Bassin de collecte;Acteur: nom UO;Type de transaction;Sous type de transaction;Contenant;Prix de base;Indice;Date prix de base;Date de début;Date de fin
CDP2123-PRAXY - JURA RECYCLAGE;;CDP2123-PRAXY - JURA RECYCLAGE;Evacuation;Ferrailles en mélange;;-115 €;Ferrailles en mélange - CENTRE SUD-EST, SUD MEDITERRANEE;01/01/2021;01/01/2021;
;La Réunion Zone 1;TRSP2123 - SUEZ REUNION;Transport;Retrait;Benne 30m3;287.9 €;Pas de variation;01/08/2020;31/01/2021;
;La Réunion Zone 1;TRSP2123 - SUEZ REUNION;Transport;Rotation;Benne 30m3;287.9 €;Pas de variation;01/08/2020;31/01/2021;
;La Réunion Zone 1;TRSP2123 - SUEZ REUNION;Transport;Depose;Benne 30m3;95.47 €;Pas de variation;01/08/2020;31/01/2021;
CDT2123-PRAXY - MEMPONTEL;;CDT2123-PRAXY - MEMPONTEL;Evacuation;non DEA DIB ISDND;;150 €;Pas de variation;01/08/2020;01/01/2021;
CDT2123-VEOLIA ONYX LANGUEDOC ROUSSILLON Pignan;;CDT2123-VEOLIA ONYX LANGUEDOC ROUSSILLON Pignan;Evacuation;non DEA DIB ISDND;;190 €;Pas de variation;01/08/2020;01/01/2021;
CDT2123-VEOLIA ONYX LANGUEDOC ROUSSILLON Pignan;;CDT2123-VEOLIA ONYX LANGUEDOC ROUSSILLON Pignan;Evacuation;non DEA DIB UVE;;161 €;Pas de variation;01/08/2020;01/01/2021;
CDT2123-VEOLIA ONYX LANGUEDOC ROUSSILLON Pignan;;CDT2123-VEOLIA ONYX LANGUEDOC ROUSSILLON Pignan;Evacuation;non DEA DIB UVE;;190 €;Pas de variation;01/08/2020;01/01/2020;01/01/2021
CDT2123-VEOLIA ONYX LANGUEDOC ROUSSILLON Pignan;;CDT2123-VEOLIA ONYX LANGUEDOC ROUSSILLON Pignan;Evacuation;non DEA DIB ISDND;;161 €;Pas de variation;01/08/2020;01/01/2021;01/01/2021
CDP2123-PRAXY - EPUR MEDITERRANEE Gignac;;CDP2123-PRAXY - EPUR MEDITERRANEE Gignac;Evacuation;Bois B;;87 €;Bois B - SUD EST;01/12/2020;09/02/2021;
CDP2123-PRAXY - EPUR MEDITERRANEE Gignac;;CDP2123-PRAXY - EPUR MEDITERRANEE Gignac;Evacuation;Bois B;;86 €;Bois B - SUD EST;01/12/2020;09/02/2021;09/02/2021
CDP2123-PRAXY - CAP RECYCLAGE;;CDP2123-PRAXY - CAP RECYCLAGE;Evacuation;Bois B;;62 €;Bois B - CENTRE OUEST;01/12/2020;09/02/2021;
CDP2123-PRAXY - MEMPONTEL;;CDP2123-PRAXY - MEMPONTEL;Evacuation;Bois B;;33 €;Bois B - CENTRE OUEST;01/12/2020;09/02/2021;
CDP2123-VEOLIA PROPRETE AQUITAINE - Boé / DAMAZAN;;CDP2123-VEOLIA PROPRETE AQUITAINE - Boé / DAMAZAN;Preparation;Ferrailles;;;Pas de variation;01/08/2020;09/02/2021;
CDP2123-SUEZ RV SUD OUEST - NIORT;;CDP2123-SUEZ RV SUD OUEST - NIORT;Preparation;Ferrailles;;;Pas de variation;01/09/2020;09/02/2021;
CDP2123-PRAXY - EPUR CENTRE Digoin;;CDP2123-PRAXY - EPUR CENTRE Digoin;Evacuation;Ferrailles en mélange;;-100 €;Ferrailles en mélange - CENTRE SUD-EST, SUD MEDITERRANEE;01/12/2020;09/02/2021;
PAV - PRAXY_GUYOT ENVIRONNEMENT - KERVIGNAC;;PAV - PRAXY_GUYOT ENVIRONNEMENT - KERVIGNAC;Commercial;Aide au chargement;;75 €;PAV;01/01/2020;01/01/2020;
PAV - LA MIRAILLE - SAINT-MARTIN-DE-QUEYRIERES;;TRSP2123-PRAXY - ARC EN CIEL RECYCLAGE IZEAUX;Commercial;Location de benne UO;Benne 30m3 UO;2.16 €;Pas de variation;01/08/2020;31/01/2020;
PAV - LA MIRAILLE - SAINT-MARTIN-DE-QUEYRIERES;;TRSP2123-PRAXY - ARC EN CIEL RECYCLAGE IZEAUX;Commercial;Location de benne UO;Benne 30m3 UO;2.17 €;Pas de variation;01/08/2020;31/01/2021;31/01/2021
CDT2123-PRAXY - MEMPONTEL;;CDT2123-PRAXY - MEMPONTEL;Evacuation;Refus de traitement ISDND;;150 €;Pas de variation;01/08/2020;01/01/2021;
CDT2123-PRAXY - CAP RECYCLAGE;;CDT2123-PRAXY - CAP RECYCLAGE;Evacuation;non DEA DIB ISDND;;177 €;Pas de variation;01/08/2020;01/01/2021;
CDT2123-BRANGEON RECYCLAGE FERS - VERN SUR SEICHE;;CDT2123-BRANGEON RECYCLAGE FERS - VERN SUR SEICHE;Evacuation;Non DEA Cartons;;157 €;Pas de variation;01/11/2020;01/01/2021;
CDT2123-BRANGEON RECYCLAGE FERS - VERN SUR SEICHE;;CDT2123-BRANGEON RECYCLAGE FERS - VERN SUR SEICHE;Evacuation;Non DEA bois A;;157 €;Pas de variation;01/11/2020;01/01/2021;
CDT2123-BRANGEON RECYCLAGE FERS - VERN SUR SEICHE;;CDT2123-BRANGEON RECYCLAGE FERS - VERN SUR SEICHE;Evacuation;Non DEA papier;;157 €;Pas de variation;01/11/2020;01/01/2021;
CDT2123-BRANGEON RECYCLAGE FERS - REZE;;CDT2123-BRANGEON RECYCLAGE FERS - REZE;Evacuation;Non DEA Cartons;;157 €;Pas de variation;01/11/2020;01/01/2021;
CDT2123-BRANGEON RECYCLAGE FERS - REZE;;CDT2123-BRANGEON RECYCLAGE FERS - REZE;Evacuation;Non DEA papier;;157 €;Pas de variation;01/11/2020;01/01/2021;
CDT2123-BRANGEON RECYCLAGE FERS - REZE;;CDT2123-BRANGEON RECYCLAGE FERS - REZE;Evacuation;Non DEA bois A;;157 €;Pas de variation;01/11/2020;01/01/2021;
CDP2123-VEOLIA SUD EST ASSAINISSEMENT - NICE ST ISIDORE;;CDP2123-VEOLIA SUD EST ASSAINISSEMENT - NICE ST ISIDORE;Evacuation;Ferrailles en mélange;;-55 €;Ferrailles en mélange - CENTRE SUD-EST, SUD MEDITERRANEE;01/10/2020;09/02/2021;
CDP2123-VEOLIA PROPRETE MIDI PYRENEES - Villeneuve-Tolosane;;CDP2123-VEOLIA PROPRETE MIDI PYRENEES - Villeneuve-Tolosane;Evacuation;Ferrailles en mélange;;-40 €;Ferrailles en mélange - SUD-OUEST ATLANTIQUE, MIDI PYRENNEES ;01/08/2020;09/02/2021;
CDP2123-REVIVAL ATHIS-MONS;;CDP2123-REVIVAL ATHIS-MONS;Evacuation;Ferrailles en mélange;;-340 €;Ferrailles en mélange -  NORD, EST, IDF;01/01/2021;01/01/2021;01/01/2021
CDP2123-REVIVAL ATHIS-MONS;;CDP2123-REVIVAL ATHIS-MONS;Evacuation;Ferrailles en mélange;;-340 €;Ferrailles en mélange -  NORD, EST, IDF;01/05/2021;01/01/2021;01/01/2021
CDP2123-REVIVAL ATHIS-MONS;;CDP2123-REVIVAL ATHIS-MONS;Evacuation;Ferrailles en mélange;;-340 €;Ferrailles en mélange -  NORD, EST, IDF;01/05/2021;01/01/2021;09/08/2021
CDP2123-NANTET - FRANCIN;;CDP2123-NANTET - FRANCIN;Evacuation;Platin dégradé ;;-20 €;Platin dégradé - CENTRE SUD-EST, SUD MEDITERRANEE;01/11/2020;09/02/2021;
CDT2123-BRANGEON RECYCLAGE FERS - REZE;;CDT2123-BRANGEON RECYCLAGE FERS - REZE;Evacuation;Non DEA bois A;;157 €;Non DEA bois A;01/11/2020;01/01/2021;01/01/2021
;21-23 Paris Nord Ouest hors Paris / A ;TRSP2123-BLB;Transport;Passage à vide;Camion hayon 50m3;255 €;Pas de variation;01/01/2021;01/01/2021;
CDT2123-BRANGEON RECYCLAGE FERS - Cholet;;CDT2123-BRANGEON RECYCLAGE FERS - Cholet;Evacuation;Refus de traitement ISDND;;157 €;Pas de variation;01/01/2021;01/01/2021;
CDT2123-BRANGEON RECYCLAGE FERS - SAINTE-EULALIE;;CDT2123-BRANGEON RECYCLAGE FERS - SAINTE-EULALIE;Evacuation;Refus de traitement ISDND;;157 €;Pas de variation;01/01/2021;01/01/2021;
CDT2123-BRANGEON RECYCLAGE FERS - VERN SUR SEICHE;;CDT2123-BRANGEON RECYCLAGE FERS - VERN SUR SEICHE;Evacuation;Non DEA papier;;157 €;Non DEA papier;01/01/2021;01/01/2021;01/01/2021
CDT2123-BRANGEON RECYCLAGE FERS - REZE;;CDT2123-BRANGEON RECYCLAGE FERS - REZE;Evacuation;Non DEA papier;;157 €;Non DEA papier;01/01/2021;01/01/2021;01/01/2021
CDT2123-BRANGEON RECYCLAGE FERS - ANGERS;;CDT2123-BRANGEON RECYCLAGE FERS - ANGERS;Evacuation;Non DEA papier;;157 €;Non DEA papier;01/01/2021;01/01/2021;
CDT2123-BRANGEON RECYCLAGE FERS - SAINTE-EULALIE;;CDT2123-BRANGEON RECYCLAGE FERS - SAINTE-EULALIE;Evacuation;Non DEA papier;;157 €;Non DEA papier;01/01/2021;01/01/2021;
CDT2123-BRANGEON RECYCLAGE FERS - LES HERBIERS;;CDT2123-BRANGEON RECYCLAGE FERS - LES HERBIERS;Evacuation;Non DEA papier;;157 €;Non DEA papier;01/01/2021;01/01/2021;
CDT2123-BRANGEON RECYCLAGE FERS - SAINTE-EULALIE;;CDT2123-BRANGEON RECYCLAGE FERS - SAINTE-EULALIE;Evacuation;Non DEA papier;;157 €;Non DEA Cartons;01/01/2021;01/01/2021;01/01/2021
CDT2123-BRANGEON RECYCLAGE FERS - SAINTE-EULALIE;;CDT2123-BRANGEON RECYCLAGE FERS - SAINTE-EULALIE;Evacuation;Non DEA Cartons;;157 €;Non DEA Cartons;01/01/2021;01/01/2021;
CDT2123-BRANGEON RECYCLAGE FERS - REZE;;CDT2123-BRANGEON RECYCLAGE FERS - REZE;Evacuation;Non DEA Cartons;;157 €;Non DEA Cartons;01/01/2021;01/01/2021;01/01/2021
CDT2123-BRANGEON RECYCLAGE FERS - ANGERS;;CDT2123-BRANGEON RECYCLAGE FERS - ANGERS;Evacuation;Non DEA Cartons;;157 €;Non DEA Cartons;01/01/2021;01/01/2021;
CDT2123-BRANGEON RECYCLAGE FERS - LES HERBIERS;;CDT2123-BRANGEON RECYCLAGE FERS - LES HERBIERS;Evacuation;Non DEA Cartons;;157 €;Non DEA Cartons;01/01/2021;01/01/2021;
CDT2123-BRANGEON RECYCLAGE FERS - SAINTE-EULALIE;;CDT2123-BRANGEON RECYCLAGE FERS - SAINTE-EULALIE;Evacuation;Non DEA Cartons;;157 €;Non DEA Cartons;01/01/2021;01/01/2021;
CDT2123-BRANGEON RECYCLAGE FERS - VERN SUR SEICHE;;CDT2123-BRANGEON RECYCLAGE FERS - VERN SUR SEICHE;Evacuation;Non DEA bois A;;157 €;Non DEA bois A;01/01/2021;01/01/2021;01/01/2021
CDT2123-BRANGEON RECYCLAGE FERS - REZE;;CDT2123-BRANGEON RECYCLAGE FERS - REZE;Evacuation;Non DEA bois A;;157 €;Non DEA bois A;01/01/2021;01/01/2021;01/01/2021
CDT2123-BRANGEON RECYCLAGE FERS - REZE;;CDT2123-BRANGEON RECYCLAGE FERS - ANGERS;Evacuation;Non DEA bois A;;157 €;Non DEA bois A;01/01/2021;01/01/2021;01/01/2021
CDT2123-BRANGEON RECYCLAGE FERS - ANGERS;;CDT2123-BRANGEON RECYCLAGE FERS - ANGERS;Evacuation;Non DEA bois A;;157 €;Non DEA bois A;01/01/2021;01/01/2021;
CDT2123-BRANGEON RECYCLAGE FERS - LES HERBIERS;;CDT2123-BRANGEON RECYCLAGE FERS - LES HERBIERS;Evacuation;Non DEA bois A;;157 €;Non DEA bois A;01/01/2021;01/01/2021;
CDT2123-BRANGEON RECYCLAGE FERS - SAINTE-EULALIE;;CDT2123-BRANGEON RECYCLAGE FERS - SAINTE-EULALIE;Evacuation;Non DEA bois A;;157 €;Non DEA bois A;01/01/2021;01/01/2021;
CDP2123-BRANGEON RECYCLAGE FERS - Cholet;;CDP2123-BRANGEON RECYCLAGE FERS - Cholet;Evacuation;Bois B;;48.3 €;Pas de variation;01/01/2021;01/06/2021;
CDP2123-BRANGEON RECYCLAGE FERS - Cholet;;CDP2123-BRANGEON RECYCLAGE FERS - Cholet;Evacuation;Bois B;;48.3 €;Bois B - CENTRE OUEST;01/01/2021;31/05/2021;31/05/2021
CDP2123-PRAXY - BAUDELET;;CDP2123-PRAXY - BAUDELET;Evacuation;Bois B;;40 €;Pas de variation;01/12/2020;01/01/2021;
CDP2123-VEOLIA SUD EST ASSAINISSEMENT - NICE ST ISIDORE;;CDP2123-VEOLIA SUD EST ASSAINISSEMENT - NICE ST ISIDORE;Evacuation;Bois B;;120 €;Pas de variation;01/01/2021;09/02/2021;
MATERIAUTHEQUE - REED;;MATERIAUTHEQUE - REED;Tri;Défaut;;50 €;Pas de variation;01/08/2020;31/01/2021;
MATERIAUTHEQUE - REED;;MATERIAUTHEQUE - REED;Tri;MonoFamille;;70 €;Pas de variation;01/08/2020;01/01/2021;
;21-23 Paris Nord Ouest hors Paris / C;TRSP2123-CENTRE PARISIEN DE RECYCLAGE (CPR);Transport;Rotation;Camion hayon 50m3;255 €;Pas de variation;01/08/2020;31/01/2021;
;21-23 Paris Nord Ouest hors Paris / C;TRSP2123-CENTRE PARISIEN DE RECYCLAGE (CPR);Transport;Rotation;Camion hayon 30m3;240 €;Pas de variation;01/08/2020;31/01/2021;
;21-23 Paris Nord Ouest hors Paris / C;TRSP2123-CENTRE PARISIEN DE RECYCLAGE (CPR);Transport;Depose;bi-benne 30m3 (benne duo, camion remorque);297 €;Pas de variation;01/08/2020;31/01/2021;
;21-23 Paris Nord Ouest hors Paris / C;TRSP2123-CENTRE PARISIEN DE RECYCLAGE (CPR);Transport;Rotation;bi-benne 30m3 (benne duo, camion remorque);356 €;Pas de variation;01/08/2020;31/01/2021;
;21-23 Paris Nord Ouest hors Paris / C;TRSP2123-CENTRE PARISIEN DE RECYCLAGE (CPR);Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);356 €;Pas de variation;01/08/2020;31/01/2021;
;Martinique;TRSP2123 - EVEA - METALDOM;Commercial;Location de benne UO;Benne 30m3 UO;11 €;Pas de variation;01/08/2020;31/01/2021;
;La Rochelle;TRSP2123-VEOLIA PROPRETE POITOU CHARENTES - Aytré;Commercial;Location de benne UO;Benne 30m3 UO;3 €;Pas de variation;01/08/2020;31/01/2021;
CDT2123-VEOLIA ONYX LANGUEDOC ROUSSILLON Pignan;;CDT2123-VEOLIA ONYX LANGUEDOC ROUSSILLON Pignan;Evacuation;non DEA DIB ISDND;;170 €;Pas de variation;01/08/2020;01/01/2021;01/01/2021
CDT2123-VEOLIA ONYX LANGUEDOC ROUSSILLON Pignan;;CDT2123-VEOLIA ONYX LANGUEDOC ROUSSILLON Pignan;Evacuation;non DEA DIB UVE;;162 €;Pas de variation;01/08/2020;01/01/2021;01/01/2021
CDT2123-VEOLIA ONYX LANGUEDOC ROUSSILLON Pignan;;CDT2123-VEOLIA ONYX LANGUEDOC ROUSSILLON Pignan;Evacuation;Refus de traitement UVE;;162 €;Pas de variation;01/08/2020;01/01/2021;
PAV - LA MIRAILLE - SAINT-MARTIN-DE-QUEYRIERES;;TRSP2123-PRAXY - ARC EN CIEL RECYCLAGE IZEAUX;Commercial;Location de benne UO;Benne 30m3 UO;2 €;Pas de variation;01/08/2020;31/01/2021;31/01/2021
PAV - LA MIRAILLE - SAINT-MARTIN-DE-QUEYRIERES;;TRSP2123-PRAXY - ARC EN CIEL RECYCLAGE IZEAUX;Transport;Retrait;Benne 30m3 UO;490 €;Pas de variation;01/08/2020;31/01/2021;
PAV - LA MIRAILLE - SAINT-MARTIN-DE-QUEYRIERES;;TRSP2123-PRAXY - ARC EN CIEL RECYCLAGE IZEAUX;Transport;Rotation;Benne 30m3 UO;490 €;Pas de variation;01/08/2020;31/01/2021;
PAV - LA MIRAILLE - SAINT-MARTIN-DE-QUEYRIERES;;TRSP2123-PRAXY - ARC EN CIEL RECYCLAGE IZEAUX;Transport;Depose;Benne 30m3 UO;490 €;Pas de variation;01/08/2020;31/01/2021;
;La Réunion Zone 1;TRSP2123 - SUEZ REUNION;Commercial;Location de benne UO;Benne 30m3 UO;13.66 €;Pas de variation;01/08/2020;31/01/2021;
;La Réunion Zone 1;TRSP2123 - SUEZ REUNION;Transport;Depose;Benne 30m3 UO;95.47 €;Pas de variation;01/08/2020;31/01/2021;
;La Réunion Zone 1;TRSP2123 - SUEZ REUNION;Transport;Rotation;Benne 30m3 UO;260.58 €;Pas de variation;01/08/2020;31/01/2021;
;La Réunion Zone 1;TRSP2123 - SUEZ REUNION;Transport;Retrait;Benne 30m3 UO;260.58 €;Pas de variation;01/08/2020;31/01/2021;
;Guyane ZONE 2;TRSP2123 - S.G.V.D ;Transport;Retrait;Benne 30m3 UO;936 €;Pas de variation;01/08/2020;31/01/2021;
;Guyane ZONE 2;TRSP2123 - S.G.V.D ;Transport;Rotation;Benne 30m3 UO;936 €;Pas de variation;01/08/2020;31/01/2021;
;Guyane ZONE 2;TRSP2123 - S.G.V.D ;Transport;Depose;Benne 30m3 UO;819 €;Pas de variation;01/08/2020;31/01/2021;
;Guyane ZONE 2;TRSP2123 - S.G.V.D ;Transport;Retrait;Benne 30m3;936 €;Pas de variation;01/08/2020;31/01/2021;
;Guyane ZONE 2;TRSP2123 - S.G.V.D ;Transport;Rotation;Benne 30m3;936 €;Pas de variation;01/08/2020;31/01/2021;
;Guyane ZONE 2;TRSP2123 - S.G.V.D ;Transport;Depose;Benne 30m3;819 €;Pas de variation;01/08/2020;31/01/2021;
;Martinique;TRSP2123 - EVEA - METALDOM;Transport;Rotation;Benne 30m3 UO;154 €;Pas de variation;01/08/2020;31/01/2021;
;Martinique;TRSP2123 - EVEA - METALDOM;Transport;Retrait;Benne 30m3 UO;154 €;Pas de variation;01/08/2020;31/01/2021;
;Martinique;TRSP2123 - EVEA - METALDOM;Transport;Depose;Benne 30m3 UO;92 €;Pas de variation;01/08/2020;31/01/2021;
;Martinique;TRSP2123 - EVEA - METALDOM;Transport;Retrait;Benne 30m3;154 €;Pas de variation;01/08/2020;31/01/2021;
;Martinique;TRSP2123 - EVEA - METALDOM;Transport;Rotation;Benne 30m3;154 €;Pas de variation;01/08/2020;31/01/2021;
;Martinique;TRSP2123 - EVEA - METALDOM;Transport;Depose;Benne 30m3;92 €;Pas de variation;01/08/2021;01/01/2021;
CDT2123-VEOLIA SUD EST ASSAINISSEMENT - NICE ST ISIDORE;;CDT2123-VEOLIA SUD EST ASSAINISSEMENT - NICE ST ISIDORE;Evacuation;Refus de traitement CSR;;195 €;Pas de variation;01/12/2020;31/01/2021;
;Mont-de-Marsan;TRSP2123-ADOUR METAL;Commercial;Location de benne UO;Benne 30m3 UO;3 €;Pas de variation;01/08/2020;31/01/2021;
;Dax;TRSP2123-ADOUR METAL;Commercial;Location de benne UO;Benne 30m3 UO;8 €;Pas de variation;01/08/2020;31/01/2021;
CDP2123-VEOLIA SUD EST ASSAINISSEMENT - NICE ST ISIDORE;;CDP2123-VEOLIA SUD EST ASSAINISSEMENT - NICE ST ISIDORE;Evacuation;Ferrailles en mélange;;-55 €;Ferrailles en mélange - CENTRE SUD-EST, SUD MEDITERRANEE;01/10/2021;09/02/2021;01/01/2021
CDP2123-SERDEX - SAINT PRIEST;;CDP2123-SERDEX - SAINT PRIEST;Evacuation;Ferrailles en mélange;;-50 €;Ferrailles en mélange - CENTRE SUD-EST, SUD MEDITERRANEE;01/11/2020;09/02/2021;
CDP2123-BRANGEON RECYCLAGE FERS - Cholet;;CDP2123-BRANGEON RECYCLAGE FERS - Cholet;Evacuation;Ferrailles en mélange;;-70 €;Ferrailles en mélange - BRETAGNE;01/11/2020;01/01/2021;
CDP 2123 - SUEZ RV NORD EST - FAMECK;;CDP 2123 - SUEZ RV NORD EST - FAMECK;Evacuation;Ferrailles en mélange;;-75 €;Ferrailles en mélange -  NORD, EST, IDF;01/09/2020;01/01/2021;
PAV - C - SCHROLL;;PAV - C - SCHROLL;Commercial;Aide au chargement;;25 €;PAV;01/05/2021;01/05/2021;
CDP2123-PRAXY - DOUBS RECYCLAGE;;CDP2123-PRAXY - DOUBS RECYCLAGE;Evacuation;CSR;;76 €;Pas de variation;01/12/2020;01/01/2021;
CDP2123-SERDEX - SAINT PRIEST;;CDP2123-SERDEX - SAINT PRIEST;Preparation;Ferrailles;;;Pas de variation;01/08/2020;01/01/2021;
CDP2123-PRAXY - DOUBS RECYCLAGE;;CDP2123-PRAXY - DOUBS RECYCLAGE;Evacuation;CSR;;80 €;Pas de variation;01/12/2020;01/01/2021;01/01/2021
CDP2123-PRAXY - AM BOIS & ENERGIE;;CDP2123-PRAXY - AM BOIS & ENERGIE;Preparation;Ferrailles;;35 €;Pas de variation;01/12/2020;01/01/2021;
;Guadeloupe;TRSP2123-SGSGM ENVIRONNEMENT;Commercial;Location de benne UO;Benne 30m3 UO;8 €;Pas de variation;01/08/2020;31/01/2021;
;Guadeloupe;TRSP2123-SGSGM ENVIRONNEMENT;Transport;Depose;Benne 30m3 UO;150 €;Pas de variation;01/08/2020;31/01/2021;
;Guadeloupe;TRSP2123-SGSGM ENVIRONNEMENT;Transport;Rotation;Benne 30m3 UO;190 €;Pas de variation;01/08/2020;31/01/2021;
;Guadeloupe;TRSP2123-SGSGM ENVIRONNEMENT;Transport;Retrait;Benne 30m3 UO;190 €;Pas de variation;01/08/2020;31/01/2021;
;Guadeloupe;TRSP2123-SGSGM ENVIRONNEMENT;Transport;Retrait;Benne 30m3;230 €;Pas de variation;01/08/2020;31/01/2021;
;Guadeloupe;TRSP2123-SGSGM ENVIRONNEMENT;Transport;Rotation;Benne 30m3;230 €;Pas de variation;01/08/2020;31/01/2021;
;Guadeloupe;TRSP2123-SGSGM ENVIRONNEMENT;Transport;Depose;Benne 30m3;150 €;Pas de variation;01/08/2020;31/01/2021;
CMV - KINNARPS 78;;TRSP2123-SOTREMA;Transport;Rotation;Benne 30m3 UO;171 €;Pas de variation;01/08/2020;31/01/2021;
CMV - GEMAD (ps2021);;TRSP2123-SOTREMA;Transport;Retrait;Benne 30m3 UO;175 €;Pas de variation;01/08/2020;31/01/2021;
CMV - GEMAD (ps2021);;TRSP2123-SOTREMA;Transport;Rotation;Benne 30m3 UO;175 €;Pas de variation;01/08/2020;31/01/2021;
CMV - GEMAD (ps2021);;TRSP2123-SOTREMA;Transport;Depose;Benne 30m3 UO;167 €;Pas de variation;01/08/2020;31/01/2021;
CMV - GEMAD (ps2021);;TRSP2123-SOTREMA;Commercial;Location de benne UO;Benne 30m3 UO;2 €;Pas de variation;01/08/2020;31/01/2021;
CMV - KINNARPS 78;;TRSP2123-SOTREMA;Commercial;Location de benne UO;Benne 30m3 UO;2 €;Pas de variation;01/08/2020;31/01/2021;
CMV - KINNARPS 78;;TRSP2123-SOTREMA;Transport;Rotation;Benne 30m3 UO;171 €;Pas de variation;01/08/2020;31/01/2021;
CMV - KINNARPS 78;;TRSP2123-SOTREMA;Transport;Depose;Benne 30m3 UO;147 €;Pas de variation;01/08/2020;31/01/2021;
;Évry;TRSP2123-BLB;Transport;Rotation;Camion hayon 50m3;250 €;Pas de variation;01/08/2020;31/01/2021;
;Évry;TRSP2123-BLB;Transport;Rotation;Camion hayon 30m3;240 €;Pas de variation;01/08/2020;31/01/2021;
CDP2123-PRAXY - BOURGOGNE RECYCLAGE Longvic;;CDP2123-PRAXY - BOURGOGNE RECYCLAGE Longvic;Evacuation;Refus de traitement CSR;;156 €;Pas de variation;01/12/2020;01/01/2021;
CDP2123-PRAXY - BOURGOGNE RECYCLAGE Travoisy;;CDP2123-PRAXY - BOURGOGNE RECYCLAGE Travoisy;Evacuation;Refus de traitement CSR;;156 €;Pas de variation;01/12/2020;01/01/2021;
CDP2123-PRAXY - CERNAY ENVIRONNEMENT;;CDP2123-PRAXY - CERNAY ENVIRONNEMENT;Evacuation;Refus de traitement UVE;;173 €;Pas de variation;01/12/2020;01/01/2021;
CDP2123-PRAXY - SOFOVAR;;CDP2123-PRAXY - SOFOVAR;Evacuation;Refus de traitement ISDND;;170 €;Pas de variation;01/12/2020;01/01/2021;
;Saclay;TRSP2123-BLB;Transport;Rotation;Camion hayon 50m3;265 €;Pas de variation;01/08/2020;31/01/2021;
;Saclay;TRSP2123-BLB;Transport;Rotation;Camion hayon 30m3;250 €;Pas de variation;01/08/2020;31/01/2021;
;Avranches;TRSP2123-SAS LES CHAMPS JOUAULT;Commercial;Location de benne UO;Benne 30m3 UO;2 €;Pas de variation;01/08/2020;31/01/2021;
;Coutances;TRSP2123-SAS LES CHAMPS JOUAULT;Commercial;Location de benne UO;Benne 30m3 UO;2 €;Pas de variation;01/08/2020;31/01/2021;
;Granville;TRSP2123-SAS LES CHAMPS JOUAULT;Commercial;Location de benne UO;Benne 30m3 UO;2 €;Pas de variation;01/08/2020;31/01/2021;
;Vire;TRSP2123-SAS LES CHAMPS JOUAULT;Commercial;Location de benne UO;Benne 30m3 UO;2 €;Pas de variation;01/08/2020;31/01/2021;
;Saint-Lô;TRSP2123-SAS LES CHAMPS JOUAULT;Commercial;Location de benne UO;Benne 30m3 UO;2 €;Pas de variation;01/08/2020;31/01/2021;
;Caen;TRSP2123-SAS LES CHAMPS JOUAULT;Commercial;Location de benne UO;Benne 30m3 UO;2 €;Pas de variation;01/08/2020;31/01/2021;
;Bayeux;TRSP2123-SAS LES CHAMPS JOUAULT;Commercial;Location de benne UO;Benne 30m3 UO;2 €;Pas de variation;01/08/2020;31/01/2021;
;Flers;TRSP2123-SAS LES CHAMPS JOUAULT;Commercial;Location de benne UO;Benne 30m3 UO;2 €;Pas de variation;01/08/2020;31/01/2021;
;Cherbourg-Octeville;TRSP2123-SAS LES CHAMPS JOUAULT;Commercial;Location de benne UO;Benne 30m3 UO;2 €;Pas de variation;01/08/2020;31/01/2021;
;Argentan;TRSP2123-SAS LES CHAMPS JOUAULT;Commercial;Location de benne UO;Benne 30m3 UO;2 €;Pas de variation;01/08/2020;31/01/2021;
CDP2123-SUEZ RV SUD OUEST - NIORT;;CDP2123-SUEZ RV SUD OUEST - NIORT;Evacuation;Ferrailles en mélange;;-70 €;Ferrailles en mélange - BRETAGNE;01/09/2020;09/02/2021;
CDP2123-PAPREC MEDITERRANEE - Liouc;;CDP2123-PAPREC MEDITERRANEE - Liouc;Evacuation;Ferrailles en mélange;;-30 €;Ferrailles en mélange - CENTRE SUD-EST, SUD MEDITERRANEE;01/10/2020;09/02/2021;
CDP2123-PLANCHER Environnement;;CDP2123-PLANCHER Environnement;Evacuation;Ferrailles en mélange;;-75 €;Ferrailles en mélange - CENTRE SUD-EST, SUD MEDITERRANEE;01/11/2020;09/02/2021;
CDP2123- SUEZ RV Centre Est AGENCE E et V BFC;;CDP2123- SUEZ RV Centre Est AGENCE E et V BFC;Evacuation;Bois B;;55 €;Bois B - NORD IDF;01/09/2020;09/02/2021;
CDP2123-SUEZ RV NORD EST - NOYELLES GODAULT;;CDP2123-SUEZ RV NORD EST - NOYELLES GODAULT;Evacuation;Ferrailles en mélange;;-80 €;Ferrailles en mélange -  NORD, EST, IDF;01/09/2020;09/02/2021;
CDP2123-NANTET - FRANCIN;;CDP2123-NANTET - FRANCIN;Evacuation;CSR;;152.4 €;Pas de variation;01/11/2020;09/02/2021;
;L'Aigle;TRSP2123 - SUEZ RV NORMANDIE - L'AIGLE;Transport;Rotation;Benne 30m3 UO;461.23 €;Pas de variation;01/08/2020;31/01/2021;
;L'Aigle;TRSP2123 - SUEZ RV NORMANDIE - L'AIGLE;Transport;Retrait;Benne 30m3 UO;461.23 €;Pas de variation;01/08/2020;31/01/2021;
